Absurd          a    wildly unreasonable or illogical
Abundant        a    existing in large quantities
Adapt           v    to adjust to new conditions
Amiable         a    friendly and pleasant in manner
Anticipate      v    to expect or predict something
Barren          a    too poor to produce plants or fruit
Bias            n    prejudice in favor of or against something
Blunt           a    direct and uncomplicated in speech
Boast           v    to talk with excessive pride
Burden          n    a heavy load or a difficult responsibility
Candid          a    truthful and straightforward
Cautious        a    careful to avoid problems or danger
Coherent        a    logical consistent and easy to follow
Compel          v    to force someone to do something
Concise         a    giving information clearly in few words
Decline         v    to become smaller weaker or fewer
Deliberate      a    done consciously and intentionally
Devote          v    to give time or effort to a purpose
Diligent        a    showing careful and persistent effort
Diminish        v    to make or become less
Dubious         a    hesitating doubting or questionable
Eager           a    wanting to do something very much
Eloquent        a    fluent and persuasive in speech
Endure          v    to suffer something painful patiently
Enhance         v    to intensify or further improve
Evade           v    to escape or avoid by cleverness
Exceed          v    to be greater than a set limit
Feeble          a    lacking physical strength
Flexible        a    able to bend or adapt easily
Fragile         a    easily broken or damaged
Futile          a    incapable of producing a useful result
Generous        a    showing readiness to give more than expected
Genuine         a    truly what something is said to be
Grateful        a    feeling thankful for a kindness received
Grim            a    forbidding stern or gloomy in appearance
Hasty           a    done with excessive speed and too little care
Hazard          n    a danger or a source of risk
Hinder          v    to create difficulties that delay progress
Hostile         a    unfriendly and antagonistic
Humble          a    having a modest view of one's importance
Idle            a    not active or currently in use
Immense         a    extremely large or great
Impartial       a    treating all sides equally
Insight         n    a deep and accurate understanding
Isolate         v    to set something apart from others
Jovial          a    cheerful and good humored
Justify         v    to show that something is right or reasonable
Keen            a    having a sharp edge or a quick mind
Kindle          v    to set alight or to arouse a feeling
Legacy          n    something handed down from an earlier time
Lenient         a    more merciful or tolerant than expected
Linger          v    to stay in a place longer than necessary
Lucid           a    expressed clearly and easy to understand
Meager          a    lacking in quantity or quality
Merit           n    the quality of being particularly good or worthy
Modest          a    unassuming about one's abilities or achievements
Motive          n    a reason for doing something
Naive           a    lacking experience wisdom or judgment
Neutral         a    not supporting either side in a conflict
Novice          n    a person new to a field or activity
Obstacle        n    something that blocks progress
Obvious         a    easily perceived or understood
Oppose          v    to disagree with and resist something
Optional        a    available to be chosen but not required
Patient         a    able to accept delay or trouble calmly
Persuade        v    to cause someone to believe or do something
Ponder          v    to think about something carefully
Praise          v    to express warm approval or admiration
Preserve        v    to maintain something in its original state
Prosper         v    to succeed and flourish
Quaint          a    attractively unusual or old fashioned
Quarrel         n    an angry argument or disagreement
Radiant         a    sending out light or shining brightly
Reluctant       a    unwilling and hesitant to act
Remedy          n    a cure for a problem or illness
Remote          a    situated far from the main centers of activity
Revise          v    to reconsider and alter something
Scarce          a    insufficient for the demand
Serene          a    calm peaceful and untroubled
Sincere         a    free from pretense or deceit
Solitary        a    done or existing alone
Steady          a    firmly fixed and not shaking
Stubborn        a    unwilling to change one's attitude
Tedious         a    too long slow and dull
Thrive          v    to grow and develop well
Timid           a    showing a lack of courage or confidence
Turmoil         n    a state of great disturbance or confusion
Uneasy          a    causing or feeling anxiety
Unite           v    to come together for a common purpose
Urgent          a    requiring immediate attention
Vague           a    uncertain or unclear in meaning
Vanish          v    to disappear suddenly and completely
Vibrant         a    full of energy and life
Virtue          n    behavior showing high moral standards
Vital           a    absolutely necessary and essential
Wary            a    feeling caution about possible dangers
Weary           a    feeling tired after exertion or endurance
Wither          v    to shrivel dry up or fade away
Yield           v    to produce or to give way under pressure
Zeal            n    great energy in pursuit of a cause
