Abhor          v    to detest strongly
Ephemeral      a    lasting for a very short time
Candor         n    the quality of being open and honest
Placate        v    to make someone less angry or hostile
Ubiquitous     a    present or found everywhere
Zeal           n    great energy or enthusiasm for a cause
Reticent       a    reluctant to speak or reveal one's thoughts
Admonish       v    to warn or reprimand someone firmly
Alacrity       n    brisk and cheerful readiness
Obfuscate      v    to deliberately make something unclear
